function,description,comment,example
RT_Drivers,"Returns the list of supported GDAL raster drivers.","","SELECT RT_Drivers();"
RT_Read,"Reads a raster file and returns a table with the raster data.","","SELECT * FROM RT_Read('path/to/raster/file.tif');"
RT_Cube2Array,"Transforms the BLOB data of the data band columns into an array of a numeric data type.","","SELECT RT_Cube2ArrayInt32(databand_1, true) AS r FROM RT_Read('path/to/raster/file.tif');"
RT_Array2Cube,"Transforms an array of numeric values into a databand column (BLOB).","","SELECT RT_Array2Cube(r.values, 'RAW', r.bands, r.cols, r.rows, r.no_data) FROM ...;"
RT_CubeNeg,"Negate the values in the datacube element-wise.","","SELECT RT_CubeNeg(databand_1) FROM ...;"
RT_CubeAbs,"Takes the absolute value of the values in the datacube element-wise.","","SELECT RT_CubeAbs(databand_1) FROM ...;"
RT_CubeSqrt,"Takes the square root of the values in the datacube element-wise.","","SELECT RT_CubeSqrt(databand_1) FROM ...;"
RT_CubeLog,"Takes the logarithm of the values in the datacube element-wise.","","SELECT RT_CubeLog(databand_1) FROM ...;"
RT_CubeExp,"Takes the exponential of the values in the datacube element-wise.","","SELECT RT_CubeExp(databand_1) FROM ...;"
RT_CubeEqual,"Return 1 where values in datacube_a are equal to datacube_b or a scalar value, 0 otherwise.","","SELECT RT_CubeEqual(databand_1, 10) FROM ...;"
RT_CubeNotEqual,"Return 1 where values in datacube_a are not equal to datacube_b or a scalar value, 0 otherwise.","","SELECT RT_CubeNotEqual(databand_1, 10) FROM ...;"
RT_CubeGreater,"Return 1 where values in datacube_a are greater than datacube_b or a scalar value, 0 otherwise.","","SELECT RT_CubeGreater(databand_1, 10) FROM ...;"
RT_CubeGreaterEqual,"Return 1 where values in datacube_a are greater than or equal to datacube_b or a scalar value, 0 otherwise.","","SELECT RT_CubeGreaterEqual(databand_1, 10) FROM ...;"
RT_CubeLess,"Return 1 where values in datacube_a are less than datacube_b or a scalar value, 0 otherwise.","","SELECT RT_CubeLess(databand_1, 10) FROM ...;"
RT_CubeLessEqual,"Return 1 where values in datacube_a are less than or equal to datacube_b or a scalar value, 0 otherwise.","","SELECT RT_CubeLessEqual(databand_1, 10) FROM ...;"
RT_CubeAdd,"Add the values in datacube_a to datacube_b or a scalar value element-wise.","","SELECT RT_CubeAdd(databand_1, 10) FROM ...;"
RT_CubeSubtract,"Subtract datacube_b or a scalar value from the values in datacube_a element-wise.","","SELECT RT_CubeSubtract(databand_1, 10) FROM ...;"
RT_CubeMultiply,"Multiply the values in datacube_a by datacube_b or a scalar value element-wise.","","SELECT RT_CubeMultiply(databand_1, 10) FROM ...;"
RT_CubeDivide,"Divide the values in datacube_a by datacube_b or a scalar value element-wise.","","SELECT RT_CubeDivide(databand_1, 10) FROM ...;"
RT_CubePow,"Take the power of the values in datacube_a to datacube_b or a scalar value element-wise.","","SELECT RT_CubePow(databand_1, 2) FROM ...;"
COPY TO,"Exports the data table to a new raster file.","","COPY ( SELECT geometry, databand_1 FROM RT_Read('path/to/raster/file.tif') ) TO 'path/to/raster/newfile.tif' WITH (FORMAT RASTER, DRIVER 'COG'...);"
